"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 03:44:59 UTC 2024","Sun Jan 21 03:49:07 UTC 2024","247490","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Jan 21 02:39:54 UTC 2024","Sun Jan 21 02:40:01 UTC 2024","6660","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Jan 21 02:47:39 UTC 2024","Sun Jan 21 02:48:00 UTC 2024","20194","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Jan 21 02:34:52 UTC 2024","Sun Jan 21 02:34:56 UTC 2024","4640","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Jan 21 02:32:15 UTC 2024","Sun Jan 21 02:32:38 UTC 2024","22223","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Jan 21 03:23:10 UTC 2024","Sun Jan 21 03:23:23 UTC 2024","13117","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Jan 21 03:23:23 UTC 2024","Sun Jan 21 03:23:34 UTC 2024","10890","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Jan 21 03:40:22 UTC 2024","Sun Jan 21 03:40:25 UTC 2024","2318","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Jan 21 03:40:27 UTC 2024","Sun Jan 21 03:40:29 UTC 2024","2092","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Jan 21 02:31:56 UTC 2024","Sun Jan 21 02:32:15 UTC 2024","19416","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Jan 21 04:06:19 UTC 2024","Sun Jan 21 04:06:19 UTC 2024","14","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sun Jan 21 02:56:27 UTC 2024","Sun Jan 21 02:56:36 UTC 2024","9938","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Jan 21 03:28:49 UTC 2024","Sun Jan 21 03:28:54 UTC 2024","4970","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Jan 21 02:55:58 UTC 2024","Sun Jan 21 02:56:13 UTC 2024","15000","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Jan 21 04:08:42 UTC 2024","Sun Jan 21 04:09:21 UTC 2024","38391","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Jan 21 02:45:29 UTC 2024","Sun Jan 21 02:45:32 UTC 2024","3016","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Jan 21 03:24:00 UTC 2024","Sun Jan 21 03:24:02 UTC 2024","2232","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Jan 21 02:36:01 UTC 2024","Sun Jan 21 02:36:58 UTC 2024","57318","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Jan 21 04:06:24 UTC 2024","Sun Jan 21 04:06:49 UTC 2024","25003","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Sun Jan 21 02:54:04 UTC 2024","Sun Jan 21 02:54:23 UTC 2024","19811","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Jan 21 02:57:04 UTC 2024","Sun Jan 21 02:57:04 UTC 2024","396","","6. Company Account","","","","9. Review Final Review",""
"skipped","Sun Jan 21 02:32:38 UTC 2024","Sun Jan 21 02:32:38 UTC 2024","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Jan 21 03:26:41 UTC 2024","Sun Jan 21 03:26:41 UTC 2024","215","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Jan 21 03:34:23 UTC 2024","Sun Jan 21 03:34:34 UTC 2024","10615","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Jan 21 03:53:11 UTC 2024","Sun Jan 21 03:53:25 UTC 2024","13952","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
